# LNAmplifier EEPROM Calibration Data
# Generated: 2025-11-20 20:53:03
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.917797,56.9077,56.879501
10.715193,57.32806,57.319248,57.295494
11.481536,57.686558,57.678848,57.657791
12.302688,58.000774,57.993099,57.975758
13.182567,58.286808,58.279888,58.263878
14.125375,58.544548,58.53661,58.525303
15.135612,58.775642,58.765316,58.760864
16.218102,58.982121,58.973793,58.968784
17.378008,59.169666,59.15897,59.159225
18.620871,59.330414,59.318562,59.336494
19.952623,59.475208,59.463314,59.486828
21.379622,59.606445,59.592861,59.62019
22.908676,59.721474,59.706867,59.737877
24.547089,59.825417,59.810043,59.842541
26.302679,59.916077,59.900959,59.933094
28.183828,59.997482,59.983166,60.016964
30.199516,60.072525,60.052616,60.089661
32.359367,60.138248,60.118626,60.152409
34.673683,60.192596,60.173149,60.209572
37.153522,60.243095,60.224079,60.261566
39.810719,60.288845,60.267567,60.305645
42.657951,60.327045,60.306763,60.345108
45.708820,60.361279,60.343369,60.381458
48.977882,60.394493,60.375267,60.412022
52.480747,60.422897,60.402561,60.439846
56.234135,60.444767,60.426723,60.464611
60.255959,60.469059,60.447693,60.489037
64.565422,60.487141,60.465668,60.505692
69.183098,60.502518,60.483879,60.522003
74.131027,60.520748,60.49968,60.539032
79.432823,60.53146,60.511265,60.553249
85.113808,60.547184,60.524708,60.564533
91.201080,60.553852,60.534233,60.574818
97.723724,60.568489,60.543659,60.586552
104.712852,60.575077,60.552322,60.593342
112.201843,60.580479,60.557793,60.598671
120.226440,60.58942,60.565063,60.604755
128.824951,60.595181,60.570759,60.613876
138.038422,60.599964,60.576851,60.61882
147.910843,60.605736,60.580627,60.622059
158.489319,60.608456,60.5877,60.6278
169.824371,60.614216,60.588974,60.63274
181.970093,60.619595,60.592812,60.634338
194.984467,60.61869,60.595303,60.636089
208.929611,60.622051,60.598831,60.639973
223.872116,60.624298,60.601826,60.642632
239.883286,60.626682,60.603672,60.645142
257.039581,60.629105,60.605324,60.647549
275.422882,60.629272,60.606792,60.649349
295.120911,60.632294,60.61034,60.649944
316.227753,60.634834,60.609745,60.651768
338.844147,60.634663,60.610092,60.655163
363.078064,60.63686,60.613018,60.65572
389.045135,60.636799,60.611603,60.655289
416.869385,60.63945,60.613503,60.65567
446.683594,60.636684,60.614136,60.656723
478.630096,60.639282,60.61657,60.658058
512.861389,60.640198,60.617905,60.659794
549.540894,60.641422,60.616013,60.660454
588.843628,60.642811,60.619045,60.661129
630.957336,60.643246,60.618069,60.660877
676.082947,60.642292,60.618298,60.66153
724.435974,60.642143,60.619232,60.660675
776.247131,60.646217,60.619869,60.662827
831.763794,60.643925,60.619888,60.663567
891.250916,60.644012,60.618557,60.663589
954.992615,60.643692,60.620449,60.664337
1023.292969,60.646549,60.619984,60.663303
1096.478149,60.646294,60.619659,60.665131
1174.897583,60.647259,60.61974,60.664452
1258.925415,60.648048,60.622646,60.66433
1348.962891,60.647095,60.619865,60.66436
1445.439819,60.646225,60.621643,60.665203
1548.816650,60.647934,60.620083,60.664967
1659.586914,60.648026,60.621941,60.664284
1778.279419,60.645424,60.621723,60.664036
1905.460693,60.647587,60.620285,60.664391
2041.737915,60.648632,60.620674,60.664112
2187.761719,60.645664,60.61974,60.664196
2344.228760,60.64735,60.619534,60.660015
2511.886475,60.644722,60.616562,60.65976
2691.534912,60.643837,60.616634,60.659325
2884.031494,60.643589,60.615917,60.655666
3090.295410,60.652744,60.622425,60.661915
3311.311279,60.649807,60.620689,60.664028
3548.133789,60.644318,60.617859,60.658474
3801.894043,60.645107,60.617588,60.655083
4073.802734,60.64463,60.611717,60.654648
4365.158203,60.645535,60.610435,60.65147
4677.351562,60.6399,60.608013,60.648064
5011.872559,60.637859,60.605637,60.646034
5370.317871,60.636944,60.605488,60.637672
5754.399414,60.638382,60.60107,60.635395
6165.950195,60.631985,60.599915,60.630219
6606.934570,60.628029,60.597065,60.627945
7079.458008,60.63097,60.594902,60.61972
7585.775879,60.627758,60.591282,60.618305
8128.305176,60.625786,60.58696,60.614731
8709.635742,60.621937,60.58688,60.603668
9332.542969,60.623703,60.582794,60.605274
10000.000000,60.623688,60.580715,60.597469
10715.193359,60.622189,60.580692,60.592503
11481.536133,60.623238,60.57626,60.580257
12302.687500,60.619015,60.578178,60.572556
13182.567383,60.616245,60.573166,60.557384
14125.375000,60.619774,60.570042,60.533157
15135.612305,60.617691,60.566643,60.503506
16218.100586,60.618774,60.571415,60.464947
17378.007812,60.615662,60.56356,60.409374
18620.871094,60.61718,60.56221,60.331131
19952.623047,60.61195,60.557858,60.2089
21379.621094,60.617554,60.563145,60.049454
22908.675781,60.620171,60.561481,59.821285
24547.089844,60.62661,60.562382,59.491871
26302.679688,60.621014,60.560738,59.032635
28183.830078,60.61636,60.552986,58.438362
30199.517578,60.61235,60.544224,57.681797
32359.365234,60.621975,60.544746,56.751961
34673.683594,60.620171,60.548546,55.652576
37153.523438,60.623692,60.542927,54.379768
