# LNAmplifier EEPROM Calibration Data
# Generated: 2025-11-05 19:37:04
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.834972,56.813847,56.839161
10.592537,57.182564,57.150242,57.181133
11.220185,57.486523,57.468285,57.491348
11.885022,57.773365,57.752968,57.775249
12.589254,58.030041,58.008507,58.034805
13.335214,58.271435,58.253365,58.275967
14.125375,58.481781,58.462151,58.484638
14.962357,58.67527,58.659485,58.68169
15.848932,58.854065,58.841408,58.865074
16.788040,59.014221,59.005131,59.027477
17.782795,59.160847,59.150017,59.171013
18.836491,59.290916,59.28231,59.305702
19.952623,59.414753,59.405102,59.429623
21.134890,59.526531,59.514366,59.539452
22.387211,59.623524,59.614914,59.642185
23.713737,59.71299,59.709789,59.73447
25.118864,59.799103,59.791813,59.816883
26.607250,59.869591,59.868011,59.892204
28.183828,59.94075,59.932632,59.959248
29.853827,60.001675,59.994999,60.018421
31.622778,60.051334,60.049431,60.07402
33.496544,60.106663,60.100533,60.125404
35.481339,60.148411,60.146969,60.170742
37.583740,60.191917,60.18734,60.211716
39.810719,60.229797,60.224033,60.24958
42.169651,60.26099,60.259121,60.283649
44.668358,60.289215,60.289471,60.316467
47.315125,60.315701,60.318668,60.348694
50.118725,60.341568,60.339252,60.372082
53.088444,60.36821,60.360874,60.391937
56.234135,60.384106,60.385521,60.413033
59.566216,60.401176,60.403355,60.427383
63.095734,60.423126,60.422501,60.447693
66.834389,60.438625,60.432999,60.468849
70.794579,60.450012,60.447792,60.484196
74.989418,60.4608,60.459171,60.495003
79.432823,60.473476,60.469852,60.504585
84.139511,60.483166,60.480751,60.514893
89.125092,60.492451,60.486748,60.525269
94.406090,60.504131,60.495842,60.536953
100.000000,60.510181,60.500408,60.541645
105.925369,60.517654,60.511353,60.551342
112.201843,60.520729,60.517689,60.555111
118.850220,60.52457,60.522259,60.556561
125.892540,60.535564,60.533539,60.561878
