# LNAmplifier EEPROM Calibration Data
# Generated: 2025-12-19 14:58:23
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,48.171543,48.187866,48.169724,48.175209,27.179045,27.109034,27.065441,27.053352
5.376197,49.544437,49.557083,49.543343,49.550892,28.638851,28.602142,28.56629,28.561502
5.780698,50.792847,50.800991,50.790611,50.797932,29.994965,29.975889,29.943285,29.939865
6.215634,51.831284,51.838612,51.831635,51.839481,31.134893,31.12627,31.098829,31.097004
6.683295,52.77317,52.775883,52.773838,52.779167,32.171211,32.172993,32.146942,32.14629
7.186141,53.668968,53.672401,53.670872,53.677418,33.163574,33.168743,33.147224,33.149929
7.726822,54.410534,54.412418,54.410782,54.420208,33.972965,33.985653,33.967686,33.969685
8.308183,55.105618,55.105713,55.10815,55.115627,34.734447,34.747723,34.730373,34.733711
8.933285,55.730003,55.729969,55.732109,55.739452,35.391884,35.404308,35.39204,35.395195
9.605420,56.265846,56.262875,56.267986,56.274239,35.956287,35.971798,35.960217,35.963165
10.328125,56.754272,56.752102,56.75312,56.762127,36.469238,36.484051,36.474659,36.480007
11.105207,57.178211,57.173931,57.17741,57.184753,36.908932,36.925953,36.914867,36.921825
11.940755,57.556843,57.555397,57.559174,57.563786,37.301208,37.321365,37.307487,37.315319
12.839170,57.900928,57.896755,57.902107,57.906796,37.651161,37.667717,37.658157,37.662884
13.805181,58.198063,58.192783,58.193779,58.199848,37.948006,37.964996,37.955418,37.960045
14.843874,58.483322,58.47644,58.479759,58.484093,38.219326,38.236607,38.223892,38.231731
15.960717,58.725929,58.718864,58.721519,58.725887,38.456299,38.474926,38.463291,38.470345
17.161591,58.938244,58.931545,58.932468,58.936871,38.662251,38.679115,38.669964,38.674751
18.452818,59.127636,59.123291,59.12038,59.126335,38.847927,38.865654,38.855846,38.858898
