# LNAmplifier EEPROM Calibration Data
# Generated: 2025-10-22 10:24:55
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.616188,56.618843,56.601749
10.592537,56.997383,56.999878,56.980618
11.220185,57.34613,57.348141,57.328743
11.885022,57.661724,57.663136,57.648071
12.589254,57.949677,57.948883,57.9324
13.335214,58.22213,58.222713,58.204063
14.125375,58.452694,58.452915,58.435871
14.962357,58.671173,58.671211,58.652149
15.848932,58.872044,58.875713,58.858028
16.788040,59.05534,59.054745,59.033321
17.782795,59.214283,59.21323,59.195084
18.836491,59.361057,59.360409,59.341103
19.952623,59.492889,59.495838,59.475418
21.134890,59.613037,59.616852,59.598682
22.387211,59.725605,59.72805,59.706825
23.713737,59.825287,59.825096,59.80933
25.118864,59.913269,59.913353,59.898998
26.607250,59.995369,59.997272,59.976624
28.183828,60.064499,60.069828,60.051479
29.853827,60.132454,60.134235,60.114285
31.622778,60.190212,60.193851,60.172142
33.496544,60.245922,60.246334,60.228237
35.481339,60.292458,60.29388,60.275063
37.583740,60.336628,60.336308,60.322174
39.810719,60.374043,60.378296,60.359619
42.169651,60.410923,60.409698,60.394463
44.668358,60.439808,60.44466,60.425377
47.315125,60.467209,60.471325,60.452541
50.118725,60.496155,60.495861,60.480904
53.088444,60.516411,60.521877,60.501846
56.234135,60.539822,60.541561,60.523266
59.566216,60.558735,60.560062,60.542633
63.095734,60.575134,60.57568,60.56144
66.834389,60.586891,60.590126,60.574593
70.794579,60.60535,60.601032,60.587269
74.989418,60.614506,60.614548,60.602551
79.432823,60.626362,60.628334,60.606724
84.139511,60.638981,60.636242,60.623295
89.125092,60.646309,60.644646,60.627525
94.406090,60.652462,60.653542,60.637367
100.000000,60.657913,60.659416,60.63921
105.925369,60.662472,60.666645,60.655746
112.201843,60.676937,60.676441,60.654675
118.850220,60.678257,60.681839,60.661793
125.892540,60.686863,60.683914,60.669983
133.352142,60.685966,60.68391,60.677692
141.253754,60.691288,60.693184,60.676796
149.623566,60.69812,60.696949,60.679901
158.489319,60.698009,60.70153,60.680809
167.880402,60.702026,60.701057,60.689816
177.827942,60.704506,60.703484,60.687225
188.364914,60.704033,60.708485,60.693913
