# LNAmplifier EEPROM Calibration Data
# Generated: 2025-12-20 19:57:56
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,47.364967,47.629818,47.602589,47.525429,16.968475,16.883307,16.848427,16.841478
5.376197,48.851517,49.077644,49.063702,49.008297,18.445251,18.388132,18.359358,18.357292
5.780698,50.24678,50.401577,50.375881,50.352718,19.818201,19.775265,19.754902,19.75202
6.215634,51.402622,51.527203,51.497562,51.493233,20.975571,20.948238,20.929218,20.926662
6.683295,52.445988,52.550671,52.519901,52.509613,22.032753,22.009691,21.996862,21.996565
7.186141,53.428589,53.526978,53.504375,53.488976,23.040728,23.023615,23.013092,23.012781
7.726822,54.257332,54.318207,54.310772,54.303257,23.866201,23.858706,23.847441,23.847742
8.308183,55.025093,55.069614,55.076176,55.0644,24.63982,24.63183,24.623436,24.625145
8.933285,55.69376,55.713165,55.715752,55.693634,25.304676,25.298723,25.293915,25.295284
9.605420,56.242748,56.275085,56.264679,56.280991,25.879808,25.875719,25.867725,25.872953
10.328125,56.77005,56.775345,56.766426,56.776482,26.396381,26.395359,26.388773,26.391665
11.105207,57.209084,57.229202,57.229977,57.227753,26.838192,26.838236,26.83197,26.839144
11.940755,57.613495,57.607346,57.611622,57.620739,27.235207,27.235476,27.228291,27.234705
12.839170,57.969707,57.974113,57.953911,57.976208,27.585865,27.585348,27.580204,27.582701
13.805181,58.274204,58.263977,58.255913,58.249207,27.881395,27.880447,27.876141,27.882689
14.843874,58.522369,58.516037,58.509159,58.544697,28.15255,28.154459,28.148962,28.152729
15.960717,58.766933,58.770168,58.753628,58.764275,28.3883,28.388519,28.383509,28.39024
17.161591,58.983925,58.977222,58.978016,58.977356,28.594843,28.594913,28.589617,28.595446
18.452818,59.173187,59.160179,59.174252,59.163166,28.779476,28.778822,28.774586,28.780148
19.841196,59.35181,59.324921,59.307377,59.32259,28.940329,28.94042,28.934631,28.938028
21.334036,59.462807,59.474419,59.473915,59.468845,29.079865,29.08523,29.077353,29.081652
22.939194,59.594791,59.599907,59.583363,59.595131,29.20878,29.208019,29.20261,29.207668
24.665125,59.714745,59.700611,59.694214,59.707157,29.315035,29.316919,29.311865,29.31678
26.520912,59.814049,59.792511,59.79364,59.799522,29.412601,29.413235,29.40918,29.41246
28.516329,59.906704,59.907093,59.89481,59.892212,29.500195,29.498714,29.49411,29.498911
30.661879,59.966488,59.988224,59.9786,59.976711,29.575096,29.571526,29.566505,29.572674
32.968857,60.039242,60.037483,60.028969,60.038628,29.638824,29.641068,29.634163,29.637955
35.449413,60.095497,60.101501,60.105438,60.08873,29.697069,29.697474,29.694374,29.699057
