# LNAmplifier EEPROM Calibration Data
# Generated: 2025-12-19 14:54:00
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,48.277733,48.2617,48.251854,48.254707,27.33161,27.254852,27.205128,27.193411
5.376197,49.645905,49.629211,49.623871,49.626923,28.783495,28.735746,28.69978,28.688953
5.780698,50.888966,50.874508,50.872135,50.874767,30.12657,30.097261,30.065014,30.058552
6.215634,51.921829,51.914093,51.910393,51.9123,31.257578,31.238527,31.213203,31.208712
6.683295,52.858639,52.849014,52.846695,52.85294,32.283642,32.275467,32.249184,32.247341
7.186141,53.751228,53.743118,53.743149,53.746895,33.260349,33.259445,33.240383,33.238197
7.726822,54.48634,54.479824,54.47818,54.484459,34.062241,34.066387,34.050339,34.050087
8.308183,55.178814,55.171486,55.171261,55.177605,34.812222,34.822468,34.805138,34.806309
8.933285,55.797264,55.791294,55.791477,55.795177,35.458519,35.468983,35.454529,35.45797
9.605420,56.326347,56.323059,56.320549,56.324833,36.016739,36.030186,36.017532,36.021057
10.328125,56.807793,56.804363,56.802601,56.807789,36.521973,36.536739,36.523209,36.528904
11.105207,57.226124,57.221863,57.221508,57.227474,36.956444,36.972179,36.95871,36.963943
11.940755,57.603878,57.598618,57.597649,57.601883,37.343548,37.358383,37.348289,37.35157
12.839170,57.941078,57.938099,57.935852,57.941105,37.687595,37.703403,37.690125,37.694267
13.805181,58.232292,58.226704,58.226757,58.23143,37.981949,37.996349,37.984753,37.988144
14.843874,58.499371,58.495708,58.492271,58.497086,38.247826,38.262352,38.252335,38.258301
15.960717,58.734581,58.729713,58.727573,58.732452,38.481236,38.498173,38.484772,38.491222
17.161591,58.940388,58.935513,58.933537,58.939629,38.684223,38.699955,38.69025,38.695415
18.452818,59.126907,59.122585,59.118088,59.124802,38.867989,38.881496,38.868301,38.87685
19.841196,59.307068,59.297783,59.296139,59.300945,39.029236,39.043797,39.030766,39.036739
21.334036,59.453629,59.44836,59.445988,59.447842,39.169296,39.18399,39.171139,39.177406
22.939194,59.582317,59.578445,59.575668,59.577862,39.292046,39.306843,39.296726,39.301205
24.665125,59.695114,59.691711,59.68697,59.694527,39.401325,39.41608,39.406322,39.408985
26.520912,59.796795,59.791519,59.788517,59.792824,39.497932,39.513073,39.50032,39.505016
28.516329,59.885574,59.883244,59.879059,59.884171,39.584335,39.599457,39.587307,39.592499
30.661879,59.965492,59.959869,59.956501,59.963139,39.655781,39.670631,39.659817,39.664639
32.968857,60.032478,60.028046,60.025909,60.030025,39.721561,39.736149,39.726913,39.72871
35.449413,60.092388,60.090302,60.086239,60.091404,39.781101,39.794315,39.784195,39.786674
38.116604,60.146091,60.14407,60.137913,60.143658,39.832207,39.843918,39.833797,39.838055
40.984474,60.193317,60.190357,60.188396,60.190319,39.876064,39.888969,39.875313,39.881176
44.068119,60.23418,60.233128,60.228848,60.232758,39.916206,39.929394,39.916912,39.921253
47.383774,60.270897,60.270473,60.266289,60.271038,39.949104,39.96254,39.951725,39.954723
50.948898,60.304783,60.299507,60.298332,60.300858,39.977295,39.993744,39.982288,39.988506
54.782261,60.333702,60.331009,60.326267,60.33028,40.006027,40.020561,40.009411,40.012932
58.904041,60.358044,60.355453,60.351967,60.35537,40.028797,40.042545,40.03249,40.035961
63.335945,60.379467,60.378117,60.375191,60.376305,40.047649,40.061642,40.051952,40.057076
68.101303,60.397121,60.398376,60.392185,60.395725,40.0672,40.080906,40.069515,40.074799
73.225197,60.416245,60.414349,60.410347,60.413181,40.083549,40.097542,40.086403,40.090061
78.734612,60.43008,60.43021,60.424515,60.428593,40.098114,40.113911,40.100773,40.104397
84.658554,60.442165,60.441071,60.435059,60.444935,40.113213,40.123985,40.114998,40.115276
91.028214,60.456196,60.453266,60.448612,60.455208,40.121181,40.136585,40.123634,40.12804
97.877113,60.463543,60.464478,60.458633,60.460941,40.131153,40.144249,40.135563,40.137177
105.241325,60.473209,60.471977,60.467392,60.473129,40.14323,40.154011,40.140507,40.14576
113.159615,60.481022,60.482807,60.476952,60.477383,40.146572,40.156666,40.151783,40.151554
121.673668,60.490028,60.490086,60.482235,60.486435,40.15255,40.166988,40.155632,40.159298
130.828323,60.495995,60.496109,60.488796,60.492249,40.161236,40.173954,40.163364,40.163574
140.671753,60.502666,60.502632,60.495621,60.498249,40.164562,40.179367,40.167236,40.170082
151.255814,60.507374,60.506516,60.499634,60.50436,40.16713,40.180695,40.169559,40.17561
162.636200,60.509731,60.509457,60.505058,60.507969,40.171097,40.188343,40.173969,40.178711
174.872833,60.514816,60.512951,60.509789,60.512985,40.177799,40.188885,40.177555,40.182579
188.030151,60.519115,60.516506,60.512737,60.517242,40.180855,40.193546,40.18409,40.18721
202.177414,60.524418,60.521847,60.513447,60.520454,40.180073,40.198357,40.186226,40.188873
217.389114,60.524014,60.524708,60.519196,60.523159,40.184242,40.199909,40.187393,40.190647
233.745331,60.527878,60.524616,60.521374,60.522987,40.187241,40.201725,40.190598,40.191185
251.332184,60.52832,60.52816,60.521477,60.526009,40.191109,40.205235,40.191956,40.196598
270.242249,60.532291,60.528496,60.524742,60.529003,40.19257,40.206112,40.19709,40.197304
290.575104,60.533627,60.532768,60.526714,60.53223,40.194614,40.205708,40.196499,40.198776
312.437775,60.536034,60.531597,60.528172,60.531075,40.193043,40.207676,40.198139,40.197926
335.945404,60.536987,60.532909,60.528175,60.534111,40.198174,40.212307,40.198425,40.201618
361.221710,60.540253,60.534466,60.529301,60.533867,40.196407,40.209541,40.196789,40.200836
388.399811,60.538662,60.536797,60.531395,60.535503,40.199078,40.212658,40.201542,40.202518
417.622742,60.539703,60.538952,60.532017,60.535713,40.201077,40.212841,40.20499,40.204773
449.044434,60.539284,60.538246,60.533497,60.537022,40.198677,40.214848,40.202171,40.2071
482.830231,60.541084,60.540817,60.534298,60.537289,40.201904,40.216782,40.204605,40.205894
519.158081,60.540386,60.540905,60.535057,60.539211,40.203239,40.218037,40.203171,40.208336
558.219177,60.542294,60.541927,60.537487,60.539768,40.203701,40.216476,40.205299,40.208332
600.219238,60.543976,60.543659,60.53656,60.538948,40.20311,40.216114,40.20443,40.207775
645.379333,60.542736,60.544453,60.537289,60.5383,40.20356,40.217377,40.204014,40.207195
693.937256,60.545227,60.543926,60.537666,60.540638,40.204853,40.219101,40.207077,40.208752
746.148621,60.544991,60.541157,60.536629,60.540768,40.207691,40.218338,40.206146,40.210094
802.288391,60.545914,60.543346,60.537598,60.539825,40.207642,40.216938,40.205879,40.209602
862.652039,60.543842,60.543064,60.537037,60.541565,40.205856,40.220551,40.208546,40.212078
927.557434,60.54504,60.544659,60.538609,60.539539,40.206886,40.218426,40.205372,40.206707
