# LNAmplifier EEPROM Calibration Data
# Generated: 2025-12-20 17:48:58
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,47.378315,47.505505,47.50111,47.423092,16.887508,16.802734,16.767832,16.764042
5.376197,48.844475,48.976124,48.954205,48.90826,18.371,18.316364,18.288597,18.28019
5.780698,50.20385,50.313065,50.305054,50.280819,19.749298,19.713022,19.689249,19.686367
6.215634,51.362167,51.444626,51.44239,51.430923,20.91366,20.887197,20.867008,20.866926
6.683295,52.410805,52.469952,52.471672,52.460064,21.975401,21.956181,21.942583,21.939943
7.186141,53.4035,53.457977,53.448437,53.463928,22.987469,22.976337,22.963902,22.964466
7.726822,54.223667,54.273277,54.257542,54.25362,23.823593,23.814648,23.803228,23.805723
8.308183,54.989521,55.025562,55.015427,55.020813,24.599262,24.593195,24.584684,24.58637
8.933285,55.663795,55.681438,55.667645,55.679218,25.269375,25.266823,25.25844,25.261189
9.605420,56.228973,56.242916,56.228092,56.237892,25.848539,25.847235,25.840033,25.842878
10.328125,56.757027,56.754631,56.755524,56.754932,26.368614,26.370434,26.36342,26.365559
11.105207,57.19593,57.203014,57.18647,57.211861,26.815943,26.817099,26.810261,26.816
11.940755,57.561325,57.584549,57.594559,57.589603,27.214861,27.216101,27.210129,27.215769
12.839170,57.951939,57.946918,57.93755,57.935959,27.568205,27.567669,27.56493,27.570351
13.805181,58.249367,58.248814,58.228504,58.238831,27.867407,27.868002,27.8629,27.870113
14.843874,58.513359,58.523045,58.506565,58.523811,28.142059,28.142708,28.1378,28.141596
15.960717,58.75433,58.756702,58.760902,58.77174,28.380102,28.382416,28.374569,28.3822
17.161591,58.956005,58.984756,58.961483,58.978783,28.586174,28.588362,28.583048,28.588083
18.452818,59.173313,59.155224,59.164463,59.167309,28.770857,28.773907,28.769579,28.775253
19.841196,59.316757,59.318485,59.318031,59.29673,28.9375,28.937876,28.931469,28.938616
21.334036,59.46796,59.470146,59.460659,59.476234,29.081142,29.083618,29.077593,29.082552
22.939194,59.596031,59.611431,59.597458,59.592545,29.207266,29.208551,29.204388,29.209248
24.665125,59.736507,59.722332,59.709846,59.716045,29.317219,29.320076,29.313749,29.319071
26.520912,59.818329,59.788151,59.817547,59.808712,29.413071,29.417063,29.411777,29.415981
28.516329,59.891342,59.903454,59.902874,59.897297,29.500315,29.502619,29.499931,29.50305
30.661879,59.975796,59.999893,59.972843,59.977497,29.578375,29.578339,29.57221,29.580284
32.968857,60.056332,60.051628,60.025078,60.043282,29.640673,29.644907,29.640402,29.64311
35.449413,60.098366,60.110737,60.094311,60.10783,29.699354,29.702938,29.697151,29.702347
38.116604,60.147575,60.151001,60.163139,60.148605,29.751154,29.753363,29.749548,29.754295
40.984474,60.210865,60.226299,60.206432,60.191322,29.798615,29.798227,29.793943,29.799704
44.068119,60.238327,60.255985,60.228039,60.263916,29.838417,29.83954,29.835276,29.837988
47.383774,60.296318,60.293663,60.274231,60.250637,29.872726,29.874228,29.867758,29.871717
50.948898,60.316563,60.329216,60.300179,60.313583,29.903706,29.905827,29.897583,29.903379
54.782261,60.343109,60.325993,60.332085,60.339275,29.928959,29.931618,29.923908,29.931187
58.904041,60.369781,60.37067,60.357983,60.360107,29.95282,29.953314,29.948761,29.954178
63.335945,60.387123,60.378754,60.377377,60.390148,29.973331,29.975941,29.969101,29.975899
68.101303,60.391129,60.399494,60.386375,60.380688,29.991272,29.995396,29.987051,29.994278
73.225197,60.431477,60.424072,60.407307,60.405533,30.006443,30.008982,30.004871,30.007618
78.734612,60.448124,60.431625,60.427628,60.435387,30.022436,30.024328,30.018656,30.021498
84.658554,60.447643,60.445568,60.418381,60.442593,30.035635,30.036108,30.031351,30.03307
91.028214,60.465145,60.466259,60.437672,60.463139,30.045256,30.044571,30.042198,30.045887
97.877113,60.475712,60.463913,60.446884,60.463551,30.056084,30.056168,30.051537,30.055988
105.241325,60.480907,60.497555,60.449978,60.493908,30.06391,30.064528,30.059935,30.062582
113.159615,60.453152,60.462666,60.492855,60.476345,30.073246,30.075102,30.067162,30.075249
121.673668,60.490711,60.473713,60.491173,60.483356,30.080931,30.082932,30.073532,30.080381
130.828323,60.50613,60.475857,60.478458,60.493446,30.085278,30.086281,30.081593,30.085783
140.671753,60.495659,60.492386,60.4953,60.510197,30.090748,30.092953,30.086143,30.089115
151.255814,60.509449,60.501053,60.483986,60.499672,30.096601,30.09671,30.090799,30.092852
162.636200,60.504513,60.497601,60.493713,60.506954,30.099808,30.10033,30.093151,30.096661
174.872833,60.517498,60.516361,60.508343,60.528984,30.100519,30.104612,30.096758,30.102909
188.030151,60.515945,60.494202,60.503117,60.525925,30.105986,30.108616,30.10092,30.105915
202.177414,60.515282,60.506744,60.498863,60.527802,30.107243,30.109865,30.10252,30.106716
217.389114,60.518349,60.524185,60.501869,60.512592,30.110703,30.111914,30.105394,30.109993
233.745331,60.540813,60.548561,60.527527,60.520069,30.113037,30.113464,30.109753,30.113026
251.332184,60.529922,60.540249,60.510818,60.506371,30.114466,30.116667,30.110088,30.113922
270.242249,60.526226,60.521049,60.53664,60.522255,30.115311,30.119478,30.112482,30.115555
290.575104,60.513134,60.526634,60.515121,60.531322,30.119425,30.120373,30.116346,30.116056
312.437775,60.527725,60.522987,60.514557,60.534821,30.119707,30.121231,30.115051,30.118883
335.945404,60.539089,60.515942,60.536102,60.547523,30.120867,30.12162,30.116203,30.118616
361.221710,60.527878,60.543728,60.553753,60.531635,30.124557,30.12145,30.117912,30.123352
388.399811,60.541889,60.548744,60.498016,60.552753,30.124685,30.123734,30.118427,30.123142
417.622742,60.533218,60.549156,60.517838,60.531803,30.123129,30.125387,30.119934,30.123674
449.044434,60.530003,60.544502,60.537144,60.553898,30.126234,30.126432,30.118637,30.125193
482.830231,60.530594,60.537201,60.520992,60.539585,30.125275,30.127922,30.121136,30.125006
519.158081,60.541744,60.53878,60.536037,60.536102,30.125553,30.128981,30.123283,30.125465
558.219177,60.526737,60.54039,60.519386,60.538635,30.127874,30.129068,30.123865,30.127077
600.219238,60.530987,60.538578,60.530876,60.522243,30.129549,30.131454,30.124289,30.128084
645.379333,60.537342,60.533619,60.529301,60.533894,30.129007,30.12849,30.125267,30.128515
693.937256,60.545403,60.540123,60.538853,60.540569,30.128643,30.132635,30.124205,30.127636
746.148621,60.53941,60.523716,60.548878,60.545849,30.12912,30.130472,30.124619,30.12686
802.288391,60.548428,60.545101,60.535805,60.540047,30.129147,30.131395,30.125357,30.128906
862.652039,60.555428,60.52879,60.538395,60.544437,30.129101,30.13028,30.12442,30.12833
927.557434,60.541924,60.549179,60.521103,60.552017,30.131203,30.131124,30.124561,30.128384
997.346252,60.528187,60.552399,60.526234,60.53928,30.13176,30.130629,30.126209,30.128349
1072.385864,60.540863,60.532993,60.531281,60.535736,30.132301,30.132452,30.124563,30.127373
1153.071533,60.552135,60.534554,60.537586,60.544239,30.131248,30.132538,30.124723,30.128597
1239.827881,60.556053,60.538555,60.520298,60.538761,30.131895,30.133711,30.126347,30.127769
1333.111694,60.53933,60.551788,60.551285,60.528862,30.131323,30.132824,30.127625,30.126842
1433.414185,60.550289,60.537437,60.528778,60.528454,30.13151,30.132771,30.12513,30.126415
1541.263306,60.544193,60.538906,60.541546,60.541412,30.130098,30.13179,30.1257,30.126928
1657.227051,60.549004,60.539074,60.544853,60.530163,30.12966,30.133623,30.123562,30.127905
1781.915649,60.541702,60.532219,60.530243,60.554619,30.130596,30.131355,30.125679,30.128353
