# LNAmplifier EEPROM Calibration Data
# Generated: 2025-10-26 12:20:57
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.656616,56.658386,56.642662
10.592537,57.042629,57.042084,57.022404
11.220185,57.38908,57.394268,57.3731
11.885022,57.705795,57.710907,57.689838
12.589254,57.995369,57.98885,57.977356
13.335214,58.258877,58.258087,58.24313
14.125375,58.492256,58.49234,58.473083
14.962357,58.704136,58.707993,58.687027
15.848932,58.904129,58.904495,58.8866
16.788040,59.082741,59.082981,59.063519
17.782795,59.237713,59.242027,59.22007
18.836491,59.383247,59.382572,59.365105
19.952623,59.515274,59.5163,59.494705
21.134890,59.635757,59.635563,59.615311
22.387211,59.745613,59.743645,59.72068
23.713737,59.840477,59.836678,59.822044
25.118864,59.929733,59.927052,59.907398
26.607250,60.006989,60.006195,59.984169
28.183828,60.075844,60.078918,60.060696
29.853827,60.141087,60.140461,60.123096
31.622778,60.196678,60.201859,60.180359
33.496544,60.250942,60.252209,60.234707
35.481339,60.297817,60.297119,60.281048
37.583740,60.339104,60.33717,60.320709
39.810719,60.374619,60.379562,60.362171
42.169651,60.411362,60.410667,60.396935
44.668358,60.442825,60.439869,60.424606
47.315125,60.473598,60.471447,60.456974
50.118725,60.498333,60.498077,60.480576
53.088444,60.521473,60.515881,60.50119
56.234135,60.535603,60.533768,60.520855
59.566216,60.552509,60.556412,60.538612
63.095734,60.567547,60.571861,60.559563
66.834389,60.58828,60.58654,60.570187
70.794579,60.598309,60.599052,60.583561
74.989418,60.611973,60.614483,60.597927
79.432823,60.622879,60.620453,60.608921
84.139511,60.631672,60.635071,60.61866
89.125092,60.639046,60.638786,60.624939
94.406090,60.651531,60.655949,60.628693
100.000000,60.65535,60.654034,60.638935
105.925369,60.663509,60.664604,60.64669
112.201843,60.66687,60.666786,60.653149
118.850220,60.671803,60.672321,60.661358
125.892540,60.681194,60.675621,60.661617
133.352142,60.682655,60.688419,60.668015
141.253754,60.68837,60.686188,60.668247
149.623566,60.690041,60.686684,60.675266
158.489319,60.690933,60.689243,60.682919
167.880402,60.696625,60.695717,60.679264
177.827942,60.699196,60.696297,60.681404
188.364914,60.698963,60.703026,60.685162
199.526230,60.701214,60.700138,60.68829
211.348907,60.704975,60.701942,60.689922
223.872116,60.705231,60.706257,60.696339
237.137375,60.706299,60.71336,60.693703
251.188644,60.713638,60.711342,60.696236
266.072510,60.710968,60.710018,60.69363
281.838287,60.70689,60.711338,60.702263
298.538269,60.716404,60.714073,60.703827
316.227753,60.714256,60.713486,60.69952
334.965454,60.714764,60.719788,60.702843
354.813385,60.714844,60.715694,60.701321
375.837402,60.716702,60.717789,60.703873
398.107178,60.718388,60.719151,60.709751
421.696503,60.718853,60.722404,60.695633
446.683594,60.721397,60.721104,60.70504
473.151245,60.722771,60.723419,60.700768
501.187225,60.718956,60.720104,60.70512
530.884460,60.720745,60.723629,60.70953
562.341309,60.720882,60.721073,60.708942
595.662170,60.723419,60.724491,60.705647
630.957336,60.720009,60.720486,60.70689
668.343933,60.720585,60.724045,60.704853
707.945801,60.722263,60.725224,60.704239
749.894226,60.720497,60.721329,60.711166
794.328247,60.718407,60.729244,60.712334
841.395142,60.725914,60.72533,60.707493
891.250916,60.719807,60.727116,60.712852
944.060852,60.725544,60.724255,60.709068
1000.000000,60.720158,60.72002,60.713322
1059.253784,60.726593,60.72596,60.709782
1122.018433,60.724445,60.726322,60.708931
1188.502197,60.726673,60.721291,60.70599
1258.925415,60.731125,60.721519,60.711399
1333.521484,60.723885,60.718082,60.709557
1412.537598,60.721165,60.73571,60.716717
1496.235596,60.720024,60.723526,60.71957
1584.893188,60.736061,60.722721,60.711021
1678.804077,60.716888,60.723156,60.717365
1778.279419,60.733902,60.729977,60.713463
1883.649048,60.713478,60.725811,60.708225
1995.262329,60.734901,60.728085,60.717216
2113.489014,60.730545,60.729759,60.710831
2238.721191,60.719585,60.719887,60.714134
2371.373779,60.737698,60.7164,60.704098
2511.886475,60.711575,60.711239,60.696236
2660.725098,60.717175,60.709576,60.707424
2818.382812,60.707672,60.715889,60.708099
2985.382568,60.725517,60.716305,60.701187
3162.277588,60.715691,60.715046,60.697823
3349.654297,60.720421,60.721775,60.698074
3548.133789,60.712097,60.720749,60.702503
3758.374023,60.705868,60.694759,60.710209
3981.071777,60.696281,60.710728,60.699612
4216.964844,60.699112,60.70686,60.708504
4466.835938,60.711304,60.722294,60.69865
4731.512695,60.706577,60.707043,60.699024
5011.872559,60.702652,60.702423,60.692635
5308.844238,60.709225,60.714806,60.689957
5623.413086,60.707317,60.70475,60.684097
5956.621582,60.710037,60.700367,60.695114
6309.573242,60.685997,60.7155,60.699501
6683.438965,60.693279,60.709133,60.697212
7079.458008,60.710075,60.70792,60.698376
7498.941895,60.702881,60.690971,60.717045
7943.282227,60.680679,60.683624,60.713852
8413.951172,60.693531,60.678486,60.717552
8912.509766,60.676067,60.690815,60.730999
9440.608398,60.696957,60.687553,60.722683
10000.000000,60.690426,60.690079,60.714073
10592.537109,60.690903,60.68573,60.743851
11220.184570,60.690826,60.677048,60.752705
11885.022461,60.701321,60.688446,60.751694
12589.253906,60.689262,60.709305,60.755241
13335.213867,60.691921,60.670235,60.77396
14125.375000,60.670925,60.676628,60.78373
14962.356445,60.681793,60.680511,60.809231
15848.931641,60.687263,60.699902,60.822327
16788.041016,60.687363,60.692684,60.832573
17782.794922,60.680069,60.717751,60.829876
18836.490234,60.695862,60.698982,60.859642
19952.623047,60.678516,60.693775,60.831715
21134.890625,60.748909,60.721893,60.752132
22387.210938,60.715065,60.726242,60.66658
23713.736328,60.693108,60.690727,60.535072
25118.865234,60.703304,60.758167,60.248402
26607.250000,60.679108,60.701115,59.886978
