# LNAmplifier EEPROM Calibration Data
# Generated: 2026-02-03 20:46:58
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB,Filter4_Gain_dB,Filter5_Gain_dB,Filter6_Gain_dB,Filter7_Gain_dB,Filter8_Gain_dB
5.000000,47.38102,47.596684,47.558937,47.462711,32.047951,32.025936,31.984648,31.976973
5.376197,48.892952,49.032127,49.000343,48.956097,33.520561,33.513218,33.476871,33.477295
5.780698,50.262081,50.386452,50.378075,50.340839,34.879738,34.878826,34.850143,34.85006
6.215634,51.428967,51.519962,51.516552,51.471455,36.024548,36.0224,35.998753,35.999607
6.683295,52.483746,52.562805,52.532738,52.504093,37.059669,37.060089,37.040756,37.041462
7.186141,53.483662,53.545483,53.527527,53.527225,38.047882,38.047611,38.032417,38.035606
7.726822,54.301102,54.351562,54.323849,54.324783,38.85984,38.858959,38.847469,38.849159
8.308183,55.068398,55.102787,55.086086,55.083599,39.61446,39.613594,39.602978,39.606457
8.933285,55.743484,55.769009,55.736671,55.756458,40.266689,40.265358,40.255875,40.261288
9.605420,56.308243,56.313614,56.292202,56.297325,40.830658,40.828987,40.82309,40.827309
10.328125,56.838596,56.825287,56.826973,56.817387,41.338638,41.338551,41.330563,41.33691
11.105207,57.265377,57.262856,57.259529,57.264839,41.775978,41.773346,41.768448,41.772625
11.940755,57.669144,57.653568,57.658981,57.65834,42.16481,42.161037,42.157246,42.163605
12.839170,57.986996,58.006351,57.990124,58.009624,42.512627,42.506912,42.504501,42.507915
13.805181,58.301071,58.28577,58.296757,58.301624,42.802971,42.800831,42.798588,42.803921
14.843874,58.566742,58.553493,58.575371,58.575245,43.073265,43.069061,43.066048,43.072651
15.960717,58.82341,58.800137,58.801704,58.793907,43.306652,43.304794,43.300491,43.304333
17.161591,59.010406,59.011555,59.001392,59.015072,43.511234,43.507706,43.50515,43.508774
18.452818,59.195526,59.193371,59.179295,59.197117,43.693634,43.69099,43.685162,43.68988
19.841196,59.372124,59.352192,59.336819,59.352299,43.854969,43.851055,43.84819,43.853073
21.334036,59.51001,59.482731,59.480419,59.498257,43.994118,43.99324,43.990112,43.993435
22.939194,59.635353,59.613293,59.617626,59.625965,44.11969,44.116852,44.113956,44.117474
24.665125,59.736259,59.714512,59.727654,59.728779,44.228981,44.224247,44.221149,44.225269
26.520912,59.830799,59.821587,59.823917,59.823524,44.326355,44.32481,44.320141,44.324852
28.516329,59.909081,59.918839,59.915932,59.914093,44.412312,44.408958,44.406528,44.411758
30.661879,59.979591,59.983177,59.989346,60.001781,44.4856,44.483414,44.479156,44.484955
32.968857,60.039482,60.056541,60.046291,60.042675,44.551285,44.548389,44.545509,44.548992
35.449413,60.118954,60.107826,60.098045,60.105412,44.609196,44.606712,44.602463,44.607056
38.116604,60.165264,60.153053,60.143341,60.156975,44.66095,44.658855,44.651814,44.656277
40.984474,60.197193,60.186035,60.193226,60.214718,44.701897,44.699467,44.696861,44.701565
44.068119,60.245632,60.228519,60.24675,60.237679,44.741573,44.740021,44.734333,44.739677
47.383774,60.274704,60.267876,60.261131,60.268421,44.775963,44.773335,44.76852,44.77322
50.948898,60.297386,60.283283,60.303383,60.297184,44.803417,44.80555,44.798531,44.803398
54.782261,60.331963,60.320404,60.325153,60.33437,44.83197,44.830593,44.826214,44.831604
58.904041,60.34935,60.358398,60.342068,60.348293,44.856812,44.855473,44.850018,44.8507
63.335945,60.386112,60.360538,60.379478,60.361214,44.877434,44.878544,44.87085,44.877228
68.101303,60.398045,60.392113,60.386265,60.388065,44.895832,44.897011,44.892105,44.893368
73.225197,60.409389,60.404934,60.392979,60.402435,44.911915,44.911205,44.90678,44.910881
78.734612,60.435673,60.413101,60.416813,60.404488,44.923996,44.925297,44.920055,44.924053
84.658554,60.453136,60.428886,60.418221,60.426392,44.937565,44.936504,44.931988,44.938446
91.028214,60.45929,60.453201,60.432129,60.453011,44.947098,44.947052,44.943378,44.94854
97.877113,60.437065,60.439869,60.441448,60.445534,44.959225,44.960258,44.953304,44.957729
105.241325,60.448952,60.44751,60.451778,60.470001,44.967739,44.964977,44.96101,44.965775
113.159615,60.463009,60.485767,60.485336,60.454075,44.97448,44.974289,44.968716,44.970364
121.673668,60.451817,60.485397,60.473633,60.457699,44.979233,44.978733,44.973309,44.97665
130.828323,60.477745,60.467564,60.457497,60.474533,44.985672,44.988438,44.981468,44.985313
140.671753,60.492771,60.493172,60.48777,60.490582,44.99049,44.991379,44.985565,44.989258
151.255814,60.497009,60.49921,60.510063,60.496864,44.995911,44.993603,44.990143,44.992363
162.636200,60.499401,60.499817,60.499359,60.497795,44.998497,44.999153,44.993496,44.996895
174.872833,60.511326,60.516678,60.490482,60.495678,45.001301,45.001488,44.996708,45.003868
188.030151,60.494423,60.486694,60.485634,60.505394,45.006084,45.006966,45.00185,45.005772
202.177414,60.489986,60.519985,60.50322,60.494553,45.008778,45.006035,45.000816,45.007465
217.389114,60.486931,60.485188,60.47998,60.515072,45.008911,45.011608,45.005821,45.008816
233.745331,60.515491,60.526909,60.515606,60.480816,45.013233,45.013317,45.007607,45.011051
251.332184,60.513798,60.523499,60.531082,60.517586,45.015961,45.013382,45.008205,45.012974
270.242249,60.512215,60.51767,60.53207,60.504887,45.017467,45.01609,45.012398,45.015949
290.575104,60.515911,60.522217,60.534046,60.501102,45.018108,45.017262,45.012745,45.018414
312.437775,60.513317,60.526588,60.526913,60.504574,45.019711,45.018425,45.014599,45.018158
335.945404,60.520523,60.523849,60.518444,60.504345,45.022186,45.021641,45.016018,45.018433
361.221710,60.514053,60.506618,60.5187,60.526714,45.023308,45.022022,45.016266,45.021381
388.399811,60.543671,60.517715,60.526211,60.519588,45.022614,45.022949,45.01749,45.021843
417.622742,60.540668,60.529388,60.513138,60.530334,45.024334,45.023975,45.020714,45.022076
449.044434,60.532177,60.539257,60.52515,60.505619,45.024143,45.02631,45.020096,45.021481
482.830231,60.533112,60.530422,60.521912,60.518604,45.025249,45.025623,45.020481,45.023571
519.158081,60.51981,60.507133,60.521259,60.517014,45.025993,45.0261,45.019409,45.024162
558.219177,60.51783,60.513809,60.530685,60.532959,45.027134,45.026283,45.021332,45.024879
600.219238,60.522015,60.520176,60.53167,60.523556,45.027538,45.026276,45.021774,45.024982
645.379333,60.529594,60.531219,60.510036,60.52739,45.026585,45.027168,45.023155,45.026306
693.937256,60.526009,60.524525,60.52095,60.52021,45.026989,45.029354,45.0228,45.025036
746.148621,60.516106,60.528496,60.496101,60.505768,45.027737,45.029137,45.025932,45.026455
802.288391,60.530663,60.514851,60.520924,60.519722,45.029484,45.027058,45.02198,45.025425
862.652039,60.503471,60.533619,60.533821,60.519615,45.028774,45.027916,45.022472,45.028011
927.557434,60.522068,60.525589,60.518665,60.512386,45.029114,45.029156,45.022984,45.023716
997.346252,60.526463,60.531525,60.51804,60.524937,45.028397,45.029293,45.022518,45.026237
1072.385864,60.501892,60.525711,60.512402,60.532291,45.031944,45.030857,45.025364,45.026608
1153.071533,60.527531,60.524277,60.5219,60.524029,45.029785,45.029381,45.022865,45.024296
1239.827881,60.521919,60.535847,60.522083,60.534321,45.027161,45.029732,45.023163,45.024265
1333.111694,60.508942,60.5341,60.510513,60.515476,45.028286,45.030296,45.023403,45.023811
1433.414185,60.509502,60.521828,60.510731,60.521416,45.028828,45.029095,45.022087,45.023483
1541.263306,60.527336,60.518417,60.513008,60.524101,45.028355,45.02858,45.024204,45.025013
1657.227051,60.532063,60.5186,60.506161,60.528309,45.029076,45.029991,45.024483,45.022537
1781.915649,60.525272,60.530365,60.523586,60.51759,45.030125,45.029289,45.022888,45.023304
1915.985840,60.529095,60.52705,60.526943,60.524319,45.02964,45.028412,45.02169,45.021252
2060.143311,60.520222,60.517418,60.512733,60.524948,45.029915,45.029545,45.023396,45.020031
2215.147217,60.525406,60.518463,60.512878,60.517784,45.027073,45.027843,45.020977,45.020477
2381.813477,60.526005,60.528542,60.533764,60.525154,45.029678,45.027237,45.02166,45.019821
2561.019531,60.523396,60.52639,60.523125,60.524521,45.028965,45.028854,45.022957,45.018757
2753.708984,60.517555,60.52636,60.511612,60.5084,45.031956,45.028542,45.021732,45.018356
2960.896240,60.515907,60.537621,60.515564,60.502022,45.029591,45.030014,45.021858,45.016445
3183.672363,60.510292,60.530792,60.517624,60.54229,45.044476,45.043159,45.03516,45.028561
3423.209717,60.517204,60.55706,60.517071,60.555687,45.037506,45.042953,45.037075,45.024872
3680.769775,60.525101,60.536755,60.515636,60.532654,45.042408,45.041965,45.032722,45.027531
3957.708496,60.560883,60.546299,60.506393,60.499363,45.04031,45.039352,45.035004,45.027466
4255.483887,60.496792,60.54023,60.527393,60.528515,45.046139,45.039627,45.033291,45.018364
4575.663574,60.579624,60.551991,60.537113,60.490238,45.042881,45.042942,45.033947,45.018322
4919.933594,60.53508,60.521839,60.530479,60.540119,45.042191,45.041306,45.029846,45.013287
5290.106445,60.494316,60.544956,60.524162,60.481251,45.040493,45.04039,45.034298,45.013058
5688.130371,60.542015,60.580894,60.513042,60.486435,45.04517,45.042511,45.033665,45.012455
6116.101562,60.541153,60.531181,60.550274,60.467304,45.04549,45.042061,45.031563,45.009087
6576.273438,60.499687,60.538132,60.527077,60.483692,45.039379,45.043098,45.033142,45.006828
7071.067871,60.533451,60.527706,60.529896,60.495285,45.042381,45.042133,45.027817,44.996441
7603.090332,60.518723,60.553509,60.483173,60.463642,45.044693,45.041103,45.027096,44.992947
8175.142090,60.543884,60.533363,60.544918,60.496696,45.039413,45.040852,45.027424,44.990204
8790.234375,60.552502,60.594315,60.520992,60.48053,45.040661,45.038895,45.026493,44.979969
9451.605469,60.536739,60.531948,60.530342,60.454227,45.039505,45.041039,45.023071,44.968204
10162.738281,60.508686,60.501114,60.493958,60.473133,45.046192,45.040691,45.022598,44.963158
10927.375977,60.566662,60.547943,60.544228,60.444489,45.0387,45.037937,45.021744,44.951672
11749.544922,60.495686,60.493484,60.528885,60.451187,45.042408,45.044312,45.024742,44.937164
12633.573242,60.561638,60.525486,60.493469,60.382557,45.040283,45.040184,45.016907,44.918331
13584.115234,60.513367,60.535946,60.501366,60.408043,45.04298,45.040779,45.017639,44.902355
14606.174805,60.564083,60.552235,60.479523,60.342815,45.040821,45.041824,45.016735,44.869286
15705.133789,60.51329,60.577347,60.472141,60.336414,45.042862,45.04034,45.01281,44.833263
16886.777344,60.528053,60.524376,60.471951,60.240753,45.043419,45.040901,45.008724,44.781265
18157.328125,60.548416,60.534279,60.499954,60.204105,45.040024,45.043125,45.005939,44.715572
19523.474609,60.534054,60.533108,60.478264,60.114155,45.042332,45.042603,45.002323,44.62492
20992.408203,60.535954,60.501766,60.501705,59.999847,45.037941,45.04126,45.002121,44.49192
22571.863281,60.538952,60.505886,60.512806,59.788525,45.04229,45.03793,44.995716,44.304024
24270.154297,60.513496,60.55986,60.490223,59.523697,45.041138,45.041641,44.98975,44.042507
26096.226562,60.528439,60.551224,60.511658,59.163307,45.042664,45.03709,44.979179,43.681622
28059.689453,60.538532,60.553791,60.457298,58.673706,45.040733,45.040703,44.979,43.192482
30170.880859,60.519028,60.546249,60.455673,58.048111,45.040798,45.040642,44.972511,42.537006
32440.919922,60.543697,60.5256,60.433964,57.169296,45.042561,45.042057,44.95985,41.697803
34881.753906,60.491959,60.519447,60.467743,56.17944,45.047153,45.039745,44.953964,40.66946
37506.234375,60.540348,60.533394,60.447536,54.915939,45.042263,45.041996,44.936607,39.456955
40328.179688,60.543243,60.546822,60.439827,53.516666,45.04034,45.04269,44.927242,38.073151
43362.445312,60.510002,60.529839,60.388817,51.995636,45.043678,45.04335,44.910233,36.557682
46625.007812,60.493073,60.487881,60.399632,50.381279,45.04026,45.039619,44.880447,34.93243
50133.042969,60.544235,60.521038,60.298634,48.690777,45.044064,45.042496,44.847347,33.231091
53905.019531,60.52998,60.492165,60.276752,46.916222,45.041779,45.041573,44.800602,31.480318
57960.796875,60.492733,60.537384,60.206173,45.140209,45.039219,45.039375,44.735718,29.675591
62321.730469,60.514339,60.531078,60.104294,43.331696,45.040565,45.045712,44.648636,27.856472
67010.773438,60.533649,60.536766,59.984493,41.51297,45.039715,45.045315,44.520248,26.012873
72052.625000,60.530457,60.52713,59.84388,39.63187,45.042168,45.042011,44.340572,24.155695
77473.820312,60.528667,60.524174,59.550308,37.733078,45.038467,45.044586,44.084301,22.295589
83302.898438,60.546551,60.514511,59.2085,35.869656,45.041367,45.044857,43.723469,20.423426
89570.554688,60.500187,60.562618,58.726639,34.014072,45.041901,45.046696,43.228848,18.554646
96309.781250,60.497643,60.552139,58.059547,32.144188,45.040947,45.041443,42.575634,16.677435
103556.070312,60.52372,60.554859,57.213188,30.25441,45.041424,45.043514,41.72823,14.805012
111347.562500,60.50058,60.49881,56.180298,28.374685,45.040363,45.044556,40.680462,12.922606
119725.273438,60.52528,60.523388,54.937527,26.526125,45.042873,45.048122,39.451149,11.041395
128733.328125,60.515812,60.525455,53.546768,24.63488,45.038986,45.048805,38.053017,9.15427
138419.140625,60.512421,60.563816,52.017891,22.765146,45.038486,45.052898,36.519333,7.291354
148833.703125,60.526745,60.53862,50.366058,20.899763,45.042831,45.048222,34.87553,5.417367
160031.859375,60.528442,60.56609,48.635883,19.033751,45.042568,45.056946,33.164776,3.53828
172072.546875,60.539009,60.575562,46.856544,17.148958,45.041847,45.055931,31.399666,1.645914
185019.187500,60.540951,60.545303,45.08725,15.250845,45.043079,45.058712,29.590446,-0.231936
198939.906250,60.526173,60.564564,43.240437,13.342304,45.043636,45.064392,27.763601,-2.067843
213908.015625,60.564411,60.581772,41.434872,11.52543,45.048485,45.067356,25.919676,-4.000099
230002.312500,60.553505,60.569401,39.536476,9.563069,45.047787,45.071178,24.063311,-5.839513
247307.531250,60.524055,60.598511,37.673698,7.822085,45.046951,45.070137,22.194788,-7.7157
265914.781250,60.535477,60.581703,35.786846,5.946424,45.04792,45.077053,20.324427,-9.545613
285922.062500,60.536983,60.584732,33.957764,4.080485,45.047855,45.07605,18.452387,-11.354378
307434.656250,60.522633,60.569523,32.045719,2.205158,45.044296,45.072296,16.578064,-13.385351
330565.812500,60.53957,60.56765,30.160271,0.050263,45.049591,45.073841,14.701865,-15.211895
355437.375000,60.517574,60.554424,28.293064,-1.684903,45.05254,45.077885,12.824898,-17.087742
382180.250000,60.561749,60.551563,26.381369,-3.481975,45.049778,45.065186,10.955151,-18.716984
410935.250000,60.553257,60.555164,24.524136,-5.243917,45.047577,45.057007,9.064881,-20.757084
441853.750000,60.570427,60.497746,22.641054,-6.810462,45.045864,45.036312,7.1985,-22.393726
475098.531250,60.529018,60.484524,20.73657,-8.62315,45.044373,44.994598,5.318725,-24.477348
510844.656250,60.522243,60.391308,18.864094,-10.334938,45.043934,44.930809,3.43358,-26.483229
549280.250000,60.52634,60.293301,17.02586,-12.308754,45.039318,44.820736,1.553843,-27.212862
590607.750000,60.491955,60.083893,15.04587,-13.15911,45.032757,44.631821,-0.333863,-30.095901
635044.687500,60.470554,59.792068,13.240406,-14.191714,45.029461,44.337723,-2.176693,-31.589754
682825.062500,60.455868,59.298443,11.374287,-16.046513,45.022697,43.862484,-4.072011,-32.034672
734200.375000,60.460567,58.562874,9.402031,-21.575426,45.01226,43.137119,-5.94096,-33.88472
789441.125000,60.389908,57.466003,7.45342,-19.938509,44.995377,42.099327,-7.861487,-35.194893
848838.187500,60.392784,56.116478,5.609635,-19.884645,44.978256,40.710857,-9.668057,-36.824898
912704.187500,60.329674,54.325733,3.823667,-19.859016,44.961967,38.992683,-11.541245,-37.514839
981375.500000,60.24538,52.314236,1.811533,-20.685545,44.928501,36.988358,-13.566864,-36.794388
1055213.500000,60.169228,50.041958,0.114217,-23.221733,44.895569,34.77441,-15.334517,-38.574993
1134607.125000,60.100445,47.689266,-1.726727,-23.752134,44.84634,32.414005,-17.061304,-39.838711
1219974.250000,60.005791,45.166721,-3.817189,-23.693451,44.791157,29.954041,-18.680082,-39.026718
1311764.250000,59.903889,42.592789,-5.255883,-24.422802,44.714333,27.426401,-20.673151,-38.428307
1410460.625000,59.743137,39.906929,-7.749253,-30.800676,44.61829,24.842426,-22.861692,-39.254387
1516582.750000,59.511482,37.172062,-10.271432,-30.78784,44.500317,22.212467,-24.560448,-41.340824
1630689.375000,59.265945,34.37965,-12.986379,-22.226734,44.350002,19.539457,-26.430574,-43.17939
1753381.375000,58.941078,31.571922,-13.91258,-31.830729,44.165573,16.826332,-28.739361,-43.110161
1885304.750000,58.607819,28.669649,-15.255013,-28.283865,43.936779,14.06618,-29.389891,-48.605194
2027153.750000,58.153809,25.708504,-16.178944,-29.844902,43.660503,11.25312,-32.105431,-47.123142
2179675.500000,57.60751,22.640181,-20.641365,-29.51685,43.333912,8.386634,-34.420872,-42.69759
2343673.000000,57.017639,19.481112,-21.987429,-30.807737,42.944099,5.434299,-34.433998,-47.520611
2520009.250000,56.328922,16.317383,-21.633921,-30.201464,42.493923,2.436226,-34.644005,-44.706814
2709613.250000,55.550045,12.904955,-20.132187,-33.582077,41.983837,-0.642704,-38.218445,-47.818813
