# LNAmplifier EEPROM Calibration Data
# Generated: 2025-11-20 20:44:37
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
10.000000,56.854748,56.865433,56.883884
10.715193,57.276501,57.288921,57.301346
11.481536,57.644039,57.656078,57.664211
12.302688,57.964832,57.974648,57.981857
13.182567,58.253254,58.265129,58.267487
14.125375,58.515804,58.525414,58.527458
15.135612,58.750126,58.759277,58.762547
16.218102,58.958469,58.966389,58.968666
17.378008,59.149685,59.156727,59.159199
18.620871,59.311729,59.319,59.318939
19.952623,59.457752,59.465157,59.466625
21.379622,59.592773,59.596012,59.595875
22.908676,59.709526,59.714466,59.714962
24.547089,59.812973,59.816132,59.818928
26.302679,59.906742,59.908813,59.91119
28.183828,59.98671,59.990284,59.991276
30.199516,60.062214,60.063835,60.064232
32.359367,60.125851,60.128643,60.129208
34.673683,60.184082,60.184708,60.186485
37.153522,60.23534,60.234577,60.237919
39.810719,60.279896,60.278038,60.28384
42.657951,60.321796,60.31913,60.321877
45.708820,60.356079,60.353092,60.357311
48.977882,60.388042,60.385555,60.389858
52.480747,60.415195,60.412941,60.417244
56.234135,60.440025,60.436138,60.442715
60.255959,60.462143,60.45771,60.463646
64.565422,60.481747,60.477356,60.481129
69.183098,60.498207,60.495842,60.49971
74.131027,60.514622,60.510742,60.515388
79.432823,60.527363,60.522461,60.527699
85.113808,60.538738,60.534527,60.540539
91.201080,60.550762,60.544422,60.552792
97.723724,60.5588,60.553989,60.559334
104.712852,60.56802,60.563969,60.569393
112.201843,60.577614,60.571781,60.576805
120.226440,60.585285,60.576817,60.581242
128.824951,60.589825,60.584286,60.589542
138.038422,60.594288,60.588394,60.59362
147.910843,60.599491,60.591587,60.598457
158.489319,60.604404,60.598492,60.602791
169.824371,60.607243,60.599739,60.607452
181.970093,60.611328,60.603699,60.609089
194.984467,60.61227,60.6101,60.6134
208.929611,60.616894,60.609905,60.616238
223.872116,60.61729,60.613697,60.617737
239.883286,60.622761,60.614109,60.620735
257.039581,60.62355,60.617619,60.621346
275.422882,60.624687,60.618847,60.622326
295.120911,60.626457,60.619877,60.62603
316.227753,60.626686,60.620041,60.627163
338.844147,60.629833,60.622429,60.630482
363.078064,60.630806,60.62056,60.629898
389.045135,60.631374,60.624329,60.631546
416.869385,60.632271,60.623993,60.631363
446.683594,60.634052,60.626438,60.631451
478.630096,60.633976,60.626328,60.632393
512.861389,60.634865,60.628944,60.634041
549.540894,60.637207,60.628536,60.635059
588.843628,60.636269,60.628265,60.633888
630.957336,60.638107,60.629753,60.636135
676.082947,60.637024,60.629028,60.63533
724.435974,60.637756,60.630863,60.635895
776.247131,60.639034,60.63084,60.637726
831.763794,60.636726,60.631119,60.636528
891.250916,60.639275,60.631176,60.635654
954.992615,60.640453,60.631397,60.637592
1023.292969,60.640396,60.631817,60.637367
1096.478149,60.641045,60.634594,60.637997
1174.897583,60.639725,60.630501,60.637417
1258.925415,60.638145,60.633183,60.637543
1348.962891,60.639427,60.630619,60.636871
1445.439819,60.642647,60.6315,60.637741
1548.816650,60.641056,60.630093,60.636284
1659.586914,60.641014,60.631145,60.638432
1778.279419,60.641773,60.631199,60.636154
1905.460693,60.643059,60.632042,60.63773
2041.737915,60.642689,60.631817,60.638126
2187.761719,60.639721,60.62973,60.63451
2344.228760,60.639374,60.62912,60.63361
2511.886475,60.638214,60.628414,60.631161
2691.534912,60.638046,60.627747,60.631222
2884.031494,60.635582,60.626534,60.628815
3090.295410,60.643002,60.633389,60.634453
3311.311279,60.641727,60.629833,60.632107
3548.133789,60.640804,60.62989,60.627602
3801.894043,60.639656,60.625256,60.626171
4073.802734,60.634098,60.622246,60.623466
4365.158203,60.637245,60.621059,60.621315
4677.351562,60.632187,60.622414,60.617176
5011.872559,60.63166,60.617268,60.616753
5370.317871,60.629295,60.616074,60.609699
5754.399414,60.629322,60.612316,60.607159
6165.950195,60.627415,60.608543,60.60183
6606.934570,60.622231,60.607136,60.597313
7079.458008,60.621967,60.608185,60.592392
7585.775879,60.622307,60.602257,60.591038
8128.305176,60.616844,60.602123,60.58424
8709.635742,60.616978,60.59697,60.578636
9332.542969,60.618519,60.598545,60.578461
10000.000000,60.613789,60.593605,60.566868
10715.193359,60.615356,60.591763,60.561176
11481.536133,60.614079,60.589775,60.551243
12302.687500,60.616817,60.591324,60.542587
13182.567383,60.61005,60.58638,60.523857
14125.375000,60.608135,60.586174,60.504642
15135.612305,60.612339,60.581532,60.477154
16218.100586,60.609493,60.585014,60.439693
17378.007812,60.609356,60.581875,60.393787
18620.871094,60.611443,60.581924,60.31749
19952.623047,60.606941,60.581062,60.202541
21379.621094,60.613205,60.583046,60.04977
22908.675781,60.615437,60.582989,59.833584
24547.089844,60.620033,60.585716,59.527756
26302.679688,60.616932,60.579765,59.099426
28183.830078,60.613392,60.574646,58.528755
30199.517578,60.608768,60.565434,57.790295
32359.365234,60.613586,60.572971,56.878887
34673.683594,60.619934,60.573078,55.791653
37153.523438,60.622177,60.568443,54.505287
39810.718750,60.617836,60.562897,53.086449
42657.953125,60.616379,60.550957,51.559765
45708.820312,60.611835,60.52729,49.95554
48977.882812,60.607384,60.506336,48.292946
52480.746094,60.60276,60.475903,46.594448
56234.132812,60.600327,60.433769,44.866726
60255.957031,60.601418,60.373459,43.110046
64565.421875,60.60236,60.281906,41.343052
69183.093750,60.594662,60.137894,39.561077
74131.023438,60.593777,59.94347,37.776642
79432.820312,60.589577,59.666313,35.985622
85113.804688,60.587772,59.276596,34.186977
91201.085938,60.583466,58.74683,32.381207
97723.718750,60.580242,58.05249,30.573587
104712.851562,60.578606,57.157932,28.770632
112201.843750,60.576279,56.067951,26.956059
120226.445312,60.575005,54.81356,25.14868
128824.953125,60.572613,53.421852,23.33844
138038.421875,60.571941,51.924606,21.519648
147910.843750,60.575729,50.336502,19.691547
158489.312500,60.576408,48.684654,17.885773
169824.359375,60.582253,46.991737,16.077755
181970.078125,60.586483,45.266178,14.272526
194984.453125,60.592964,43.514496,12.432693
208929.609375,60.60181,41.74984,10.605292
223872.109375,60.602783,39.970047,8.81546
239883.296875,60.592445,38.17997,6.970456
257039.578125,60.572117,36.3811,5.162315
275422.875000,60.544456,34.571442,3.322075
295120.937500,60.516228,32.756409,1.493587
316227.781250,60.483353,30.93646,-0.438062
338844.156250,60.437889,29.113859,-2.330878
363078.062500,60.390499,27.280371,-4.131313
389045.156250,60.329536,25.437962,-5.949454
416869.375000,60.258049,23.595055,-7.763103
446683.593750,60.169353,21.747646,-9.60447
478630.093750,60.061966,19.900368,-11.492766
512861.375000,59.917027,18.001444,-13.468892
549540.875000,59.718399,16.083948,-15.470759
588843.625000,59.440334,14.174673,-17.247561
630957.375000,59.040298,12.212394,-18.733723
676083.000000,58.459171,10.317019,-21.037783
724435.937500,57.622681,8.30271,-21.734446
776247.125000,56.468067,6.349617,-23.008888
831763.750000,54.949615,4.367838,-23.837883
891250.937500,53.092941,2.35686,-27.167521
954992.562500,50.820202,0.348807,-27.761209
1023293.000000,48.564419,-1.787941,-30.599955
1096478.250000,46.043995,-4.010778,-30.908186
1174897.500000,43.404579,-6.078239,-31.036184
1258925.375000,40.661797,-8.284843,-36.142296
1348962.875000,37.847,-10.645609,-34.589985
1445439.750000,34.962337,-12.569646,-35.348145
1548816.625000,32.020264,-15.090939,-31.2658
1659586.875000,29.022676,-17.193695,-36.4272
1778279.375000,25.95673,-19.37262,-32.371922
1905460.750000,22.843914,-21.571854,-35.303009
2041738.000000,19.68644,-23.688536,-36.608345
2187761.500000,16.457481,-25.540751,-34.721142
2344228.750000,13.216604,-28.206591,-32.465427
2511886.500000,9.886656,-28.18539,-33.769733
