# LNAmplifier Noise Density Measurement
# Generated: 2025-10-21 19:56:18
# LNA Filter: 1
# EEPROM Data Index: 1
# Sample Frequency: 5.0 MHz
# FFT Averages: 16
# Sample Size: 4194304 points
# FFT Bin Size: 1.19 Hz
# Total Test Frequencies: 801
# Unique Data Points: 716
# EEPROM Frequency Points: 201
# EEPROM Gain Points: 201
#
frequency,measured_noise_density,lna_gain_db,lna_input_noise_density
9.5367431640625,0.0001500508000510322,56.616188,2.2152814728779133e-07
10.728836059570312,0.0001444822812732303,57.073116353930814,2.0237589039285924e-07
11.920928955078125,0.00011533289805036939,57.67640597332074,1.5070682008589193e-07
13.113021850585938,0.0001233687290028802,58.140976965407916,1.528115715738394e-07
14.30511474609375,0.00011907012689125617,58.49961180705776,1.4152143581766807e-07
15.497207641601562,0.0001094559351821413,58.79235393024183,1.257829046224183e-07
16.689300537109375,0.00012562976030650285,59.03606793694655,1.4037479476855813e-07
17.881393432617188,0.00012292831203293263,59.22801721399432,1.3435414128901743e-07
19.073486328125,9.836757676549293e-05,59.38904971779447,1.0553572233780787e-07
20.265579223632812,9.221882072567399e-05,59.52469320696597,9.740581936022858e-08
21.457672119140625,9.321113028263002e-05,59.64205107673226,9.7132646199019e-08
22.649765014648438,9.761046220798369e-05,59.74533466175423,1.0051471282022373e-07
23.84185791015625,8.055885087937522e-05,59.83330928831798,8.21197839747651e-08
25.033950805664062,8.896033091828042e-05,59.907952161974634,8.990809207047123e-08
26.226043701171875,0.00011028668700790641,59.97434149965144,1.1061296041194321e-07
27.418136596679688,9.997843502526585e-05,60.03092486239847,9.962310908728057e-08
28.6102294921875,7.419154820972646e-05,60.081849976498546,7.349570075427914e-08
29.802322387695312,6.410823010509767e-05,60.13035819279942,6.315327504954533e-08
30.994415283203125,6.757921334880867e-05,60.169695335718885,6.627173876891952e-08
32.18650817871094,6.105348597794112e-05,60.20697258176741,5.961586322980581e-08
33.37860107421875,6.73195730931837e-05,60.24241537196039,6.546672031693864e-08
34.57069396972656,6.227212963233196e-05,60.271106788852855,6.035849173362857e-08
35.762786865234375,6.340806802832587e-05,60.29837102620547,6.126690892807661e-08
36.95487976074219,6.144387389425762e-05,60.323416078597745,5.919810234809755e-08
38.14697265625,4.717147662045425e-05,60.34609075193147,4.532887427837013e-08
39.33906555175781,4.573275791729658e-05,60.36611885084279,4.384513885379027e-08
40.531158447265625,5.794782922127033e-05,60.385306489924744,5.543344215153884e-08
41.72325134277344,5.867403764230806e-05,60.40394390125594,5.6007834337612775e-08
42.91534423828125,4.883787702449733e-05,60.419543198041524,4.6534989157779606e-08
44.10743713378906,4.4418389180406835e-05,60.43332376666632,4.2256801037258205e-08
45.299530029296875,4.664609813854965e-05,60.44634229061748,4.430963852748468e-08
46.49162292480469,4.5522404713394405e-05,60.45868358753928,4.3180833010926e-08
47.6837158203125,4.498692786410973e-05,60.47101454639919,4.2612362129208154e-08
48.87580871582031,3.9164154676333685e-05,60.483322408060396,3.704440611679827e-08
50.067901611328125,3.395215043853408e-05,60.49563026972161,3.20690262445104e-08
51.25999450683594,3.551499922057334e-05,60.50393942510233,3.351311819539554e-08
52.45208740234375,3.650711290353803e-05,60.51207050878109,3.441707541847735e-08
53.64418029785156,3.845712977260686e-05,60.52054692513346,3.622008969974893e-08
54.836273193359375,3.392925659138e-05,60.529418771343636,3.192297851000788e-08
56.02836608886719,2.6167399719016193e-05,60.53829061755381,2.4594955301975936e-08
57.220458984375,2.6729462546315646e-05,60.54542040697645,2.5102628914011036e-08
58.41255187988281,3.073433064459395e-05,60.552186764976966,2.8841272701139242e-08
59.604644775390625,3.6443777250756164e-05,60.55895312297749,3.417241936185498e-08
60.79673767089844,3.4470453211174434e-05,60.564452303292136,3.2301625546129214e-08
61.98883056640625,2.6542782705215763e-05,60.569991057137116,2.485689620501348e-08
63.18092346191406,2.4956500866381088e-05,60.575529810982104,2.3356469820876594e-08
64.37301635742188,2.7280963777283498e-05,60.579150687465464,2.55212636789975e-08
65.56510925292969,2.885664156207908e-05,60.582899478453804,2.6983657206466083e-08
66.7572021484375,3.160729642098937e-05,60.586648269442136,2.954302322607992e-08
67.94929504394531,3.404162885932731e-05,60.592087733153,3.179844961927584e-08
69.14138793945312,3.1781006377957806e-05,60.59764424502697,2.9667806187871973e-08
70.33348083496094,2.575336072423823e-05,60.60320075690095,2.4025579580174447e-08
71.52557373046875,2.1008607106127533e-05,60.606945529113794,1.9590701287793076e-08
72.71766662597656,1.938153334530505e-05,60.609547488939015,1.8068028140029888e-08
73.90975952148438,1.9856869187724993e-05,60.612149448764235,1.8505605613028065e-08
75.10185241699219,2.1864148186016578e-05,60.614751408589456,2.037018586741009e-08
76.2939453125,2.3957367139249477e-05,60.61798677112417,2.2312064144129696e-08
77.48603820800781,2.201417835442397e-05,60.621167542035025,2.049481977490572e-08
78.67813110351562,1.721711863517815e-05,60.62434831294588,1.6022971357586597e-08
79.87022399902344,1.824074398370253e-05,60.62753470641408,1.6969373651101512e-08
81.06231689453125,2.073427812915318e-05,60.630730801045466,1.928201337627217e-08
82.25440979003906,2.1342361049886555e-05,60.63392689567686,1.9840203292268857e-08
83.44650268554688,2.101960637373524e-05,60.63712299030824,1.9532976581567398e-08
84.63859558105469,2.2914282143522312e-05,60.63971457384224,2.1287297396798698e-08
85.8306884765625,2.306899746118228e-05,60.641466758138975,2.1426704654196654e-08
87.02278137207031,2.0612402152823932e-05,60.6432189424357,1.9141133838336935e-08
88.21487426757812,1.8975186507864075e-05,60.644971126732436,1.7617224835464817e-08
89.40696716308594,1.8219791864638896e-05,60.64663741858271,1.69126452922588e-08
90.59906005859375,1.89187378434214e-05,60.648026350672076,1.755863866577491e-08
91.79115295410156,1.773877202920654e-05,60.64941528276144,1.6460870120384504e-08
92.98324584960938,1.7919547042952226e-05,60.6508042148508,1.6625963278506962e-08
94.17533874511719,1.8580586852100625e-05,60.652193146940164,1.72365272123027e-08
95.367431640625,1.8510842685192094e-05,60.65339878183651,1.7169444762773848e-08
97.75161743164062,1.5943968950831703e-05,60.65572205781821,1.4784625802909985e-08
98.94371032714844,1.6411792645144686e-05,60.656883695809064,1.5216397204606238e-08
100.13580322265625,1.7139146957681985e-05,60.65804533379992,1.5888647714936654e-08
101.32789611816406,1.5781960984069227e-05,60.658934687999974,1.4628986225756337e-08
102.51998901367188,1.4707205187457779e-05,60.65985188851704,1.3631308824909632e-08
104.9041748046875,1.2678092739465565e-05,60.66168628955118,1.1748153431792794e-08
106.09626770019531,1.2809982885595926e-05,60.66260349006825,1.1869116018552234e-08
